Album Name,Artist(s) Name,Release Date,Total Tracks,Cover Art URL
Scarlet,Doja Cat,2023-09-20,15,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb
Seven (feat. Latto),"Jung Kook, Latto",2023-07-14,3,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",2023-09-29,3,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5
greedy,Tate McRae,2023-09-15,1,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
Lover,Taylor Swift,2019-08-23,18,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Strangers,Kenya Grace,2023-09-01,1,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3
UN PREVIEW,Bad Bunny,2023-09-25,1,https://i.scdn.co/image/ab67616d0000b273c1156c6f6dedd4b9bdf89428
MAÑANA SERÁ BONITO (BICHOTA SEASON),"KAROL G, Peso Pluma",2023-08-10,9,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03
LA VIDA ES UNA,Myke Towers,2023-03-23,23,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
GUTS,Olivia Rodrigo,2023-09-08,12,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Columbia,Quevedo,2023-07-07,1,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9
a Gift & a Curse,Gunna,2023-06-16,15,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
GÉNESIS,"Peso Pluma, Gabito Ballesteros, Junior H",2023-06-29,17,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba
Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,1,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,1,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
Prada,"cassö, RAYE, D-Block Europe",2023-08-11,1,https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c
AM,Arctic Monkeys,2013-09-09,12,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Daylight,David Kushner,2023-04-14,1,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
GUTS,Olivia Rodrigo,2023-09-08,12,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Harry's House,Harry Styles,2022-05-20,13,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Don Juan,"Maluma, Carin Leon",2023-08-25,25,https://i.scdn.co/image/ab67616d0000b273d688b951a19f48941682e026
