Track Name,Artist(s) Name,Album Name,Release Date,Popularity Score,Track URL,Total Tracks,Cover Art URL
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,77,https://open.spotify.com/track/56y1jOTK0XSvJzVv9vHQBK,15,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb
Agora Hills,Doja Cat,Scarlet,2023-09-20,68,https://open.spotify.com/track/5PyDJG7SQRgWXefgexqIge,15,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",Seven (feat. Latto),2023-07-14,97,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,3,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),2023-09-29,0,https://open.spotify.com/track/6ehWdR7cGDXnT7aKEASJxE,3,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5
3D (feat. Jack Harlow) (Alternate Ver.),"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),2023-09-29,0,https://open.spotify.com/track/2pLZ6tUBapqlngc9lnYz4M,3,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5
greedy,Tate McRae,greedy,2023-09-15,91,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,1,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
Cruel Summer,Taylor Swift,Lover,2019-08-23,98,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,18,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Strangers,Kenya Grace,Strangers,2023-09-01,94,https://open.spotify.com/track/5mjYQaktjmjcMKcUIcqz4s,1,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3
UN PREVIEW,Bad Bunny,UN PREVIEW,2023-09-25,85,https://open.spotify.com/track/63ui2w3QJBp8xx0c1MJB2Z,1,https://i.scdn.co/image/ab67616d0000b273c1156c6f6dedd4b9bdf89428
QLONA,"KAROL G, Peso Pluma",MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,92,https://open.spotify.com/track/5RqSsdzTNPX1uzkmlHCFvK,9,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03
